"date","close","volume","open","high","low"

"2019/04/12","127.8700","2677376.0000","130.6300","132.2900","127.5200"
"2019/04/11","130.1300","1020787.0000","134.0900","134.7200","129.6800"
"2019/04/10","133.9300","1111424.0000","132.8800","134.6950","132.2894"
"2019/04/09","132.2800","1092682.0000","131.2700","132.8100","130.8900"
"2019/04/08","131.8400","992971.0000","133.4700","133.6950","131.7200"
"2019/04/05","134.0800","1592418.0000","132.5600","134.3900","132.4800"
"2019/04/04","132.3500","1488749.0000","131.5100","132.5800","131.0300"
"2019/04/03","131.2100","994011.0000","131.4900","132.1500","130.9206"
"2019/04/02","130.6500","958361.0000","131.8300","131.9500","129.6700"
"2019/04/01","131.9800","1377798.0000","131.6400","132.2500","130.8500"
"2019/03/29","130.3800","1410583.0000","129.3700","130.7700","128.4050"
"2019/03/28","128.6600","1031545.0000","129.3300","129.3500","127.8000"
"2019/03/27","128.6800","1427573.0000","129.2600","130.4000","127.7600"
"2019/03/26","129.7500","1717744.0000","133.1700","133.3700","129.5200"
"2019/03/25","132.6600","1305537.0000","133.7500","133.7800","131.5715"
"2019/03/22","134.4400","1560099.0000","136.0000","136.7500","134.4300"
"2019/03/21","136.9100","770014.0000","134.3000","137.0600","134.0030"
"2019/03/20","135.0800","1759944.0000","136.5600","136.7000","134.6250"
"2019/03/19","136.6200","1751303.0000","135.1300","137.3100","134.5600"
"2019/03/18","134.7500","2377837.0000","132.2300","134.8100","131.6500"
"2019/03/15","132.3500","2924360.0000","132.7200","133.4800","132.3000"
"2019/03/14","131.7700","1756171.0000","130.8200","132.2900","130.5900"
"2019/03/13","130.8200","1558593.0000","129.0100","131.4500","128.3600"
"2019/03/12","128.8800","2694974.0000","126.2700","129.4300","126.2700"
"2019/03/11","125.8900","3132982.0000","124.7100","126.1300","124.0500"
"2019/03/08","124.7400","1700362.0000","125.5100","126.5900","124.0400"
"2019/03/07","126.8900","3655617.0000","128.9600","129.6000","126.3700"
"2019/03/06","128.7300","3542145.0000","135.0700","135.5900","128.5200"
"2019/03/05","135.3900","2257048.0000","136.3800","136.5384","134.7800"
"2019/03/04","136.1000","2279146.0000","139.1100","139.5200","135.0800"
"2019/03/01","138.4700","1995829.0000","139.3600","140.5486","138.2600"
"2019/02/28","139.0400","1718806.0000","137.7300","140.8500","137.7300"
"2019/02/27","138.8100","1279301.0000","141.6600","143.1700","138.1600"
"2019/02/26","142.5200","1332660.0000","143.3300","143.9600","142.2100"
"2019/02/25","143.2600","1432856.0000","144.0400","145.5500","143.0800"
"2019/02/22","144.0400","898082.0000","142.3300","144.9800","142.2600"
"2019/02/21","142.0100","1698031.0000","142.3200","142.8000","141.1600"
"2019/02/20","142.3300","1575219.0000","143.0900","143.6500","142.0200"
"2019/02/19","143.5900","1418847.0000","143.8100","145.2300","143.0100"
"2019/02/15","144.2600","1176633.0000","143.2300","144.3000","142.6200"
"2019/02/14","142.2200","1035612.0000","140.2500","142.7600","139.5800"
"2019/02/13","140.8900","745692.0000","140.4500","141.3600","139.6600"
"2019/02/12","140.2200","1039702.0000","139.1400","140.5300","138.4500"
"2019/02/11","138.6600","1008119.0000","139.3400","139.5800","137.3050"
"2019/02/08","139.5300","977037.0000","139.9100","140.4300","138.1000"
"2019/02/07","140.6200","1210357.0000","139.5400","140.9600","138.9700"
"2019/02/06","140.0300","850897.0000","139.0800","140.0800","138.0400"
"2019/02/05","139.7200","905841.0000","139.0700","140.4700","139.0100"
"2019/02/04","138.7600","1331034.0000","138.9900","139.3700","137.6200"
"2019/02/01","139.7100","1866200.0000","139.0700","140.9700","138.3900"
"2019/01/31","139.4300","1880116.0000","138.8900","140.5400","138.5600"
"2019/01/30","139.0600","2259040.0000","138.2300","139.4700","136.9000"
"2019/01/29","138.0300","2669668.0000","135.0000","138.1000","132.0100"
"2019/01/28","131.7300","1812945.0000","132.1100","132.2100","130.0800"
"2019/01/25","132.9000","1909771.0000","133.8500","134.4600","132.6000"
"2019/01/24","132.6900","1187308.0000","133.9100","134.7500","132.6600"
"2019/01/23","133.7900","1550934.0000","133.1100","135.3250","132.4700"
"2019/01/22","132.9700","2039828.0000","133.7600","134.4100","131.5000"
"2019/01/18","134.5400","2233577.0000","135.1100","136.0900","133.7449"
"2019/01/17","134.0600","961760.0000","131.8100","134.9375","131.7500"
"2019/01/16","132.3100","1314524.0000","131.7400","133.2900","131.2300"
"2019/01/15","131.4900","2167562.0000","129.6200","132.6300","129.2600"
"2019/01/14","129.2600","992785.0000","128.3300","130.4700","127.9500"
"2019/01/11","129.1400","1466098.0000","129.2100","129.6900","128.2550"
"2019/01/10","129.7500","959060.0000","127.7500","129.8200","127.0900"
