"date","close","volume","open","high","low"

"2019/04/12","65.3300","10063970.0000","66.0400","66.4500","64.0400"
"2019/04/11","67.1800","2956440.0000","66.7600","67.5700","66.4400"
"2019/04/10","67.1800","3645798.0000","67.4800","67.7000","66.9900"
"2019/04/09","67.2800","3301441.0000","68.0300","68.1800","66.9800"
"2019/04/08","68.3700","2527661.0000","68.3500","68.8300","67.8600"
"2019/04/05","68.0400","3808198.0000","66.6600","68.3600","66.6500"
"2019/04/04","66.4400","2855715.0000","66.1100","66.6200","65.5700"
"2019/04/03","66.0600","3056698.0000","67.2300","67.2300","65.8400"
"2019/04/02","66.6300","3304705.0000","67.2100","67.6300","66.1900"
"2019/04/01","67.1800","2731393.0000","66.8900","67.2800","66.5400"
"2019/03/29","66.2000","3190433.0000","67.2800","67.4800","66.0500"
"2019/03/28","66.5700","2511308.0000","65.9300","66.6600","65.8000"
"2019/03/27","66.3500","3473516.0000","67.2100","67.2100","65.8600"
"2019/03/26","67.0800","5885166.0000","65.8800","67.4922","65.7100"
"2019/03/25","65.1300","6588627.0000","65.2700","65.3300","64.5100"
"2019/03/22","65.2400","6136929.0000","66.7500","66.8500","65.1300"
"2019/03/21","67.2400","5171027.0000","66.9600","67.3000","66.4775"
"2019/03/20","67.2600","5112750.0000","66.0300","67.7400","65.9100"
"2019/03/19","66.1700","3659114.0000","67.3600","67.7925","65.9400"
"2019/03/18","67.0100","3197215.0000","65.7600","67.0900","65.6400"
"2019/03/15","65.4700","5602916.0000","64.8600","65.6000","64.8500"
"2019/03/14","65.2100","2446261.0000","64.9700","65.4900","64.9500"
"2019/03/13","65.0600","2525857.0000","64.7200","65.1700","64.3050"
"2019/03/12","64.2000","3195458.0000","64.1900","64.5000","63.9250"
"2019/03/11","63.8800","3770011.0000","63.2700","63.9700","62.8100"
"2019/03/08","62.7100","5581371.0000","64.0900","64.0900","62.1150"
"2019/03/07","65.7400","3156019.0000","66.2300","66.3000","65.5000"
"2019/03/06","66.1900","4453250.0000","67.1400","67.4100","65.8550"
"2019/03/05","67.5300","3673885.0000","67.4200","67.8300","66.8100"
"2019/03/04","67.4500","4198371.0000","67.7600","67.9751","66.4073"
"2019/03/01","67.5500","3865999.0000","66.3700","67.5700","66.3700"
"2019/02/28","66.1500","3852401.0000","66.6500","66.6600","65.3700"
"2019/02/27","66.6500","2959262.0000","66.3100","67.2700","66.0750"
"2019/02/26","66.0400","2764708.0000","66.2800","66.8800","65.9600"
"2019/02/25","66.2300","3594632.0000","65.7800","66.3700","65.6700"
"2019/02/22","65.9300","5035886.0000","67.1800","67.2100","65.7350"
"2019/02/21","66.6000","4122725.0000","68.1900","68.1900","66.4100"
"2019/02/20","68.2500","4017599.0000","67.5000","68.3100","67.3500"
"2019/02/19","67.6300","5082678.0000","65.6900","67.7500","65.6400"
"2019/02/15","67.1900","6042332.0000","67.5700","68.2600","66.4950"
"2019/02/14","66.5700","5701603.0000","65.6800","67.3600","65.2900"
"2019/02/13","65.8500","7196268.0000","66.1300","68.0500","64.8800"
"2019/02/12","65.7500","3895341.0000","65.8600","66.2700","65.5800"
"2019/02/11","64.8400","5489526.0000","64.4800","65.0600","63.9400"
"2019/02/08","64.9600","4651511.0000","64.6000","64.9800","63.3841"
"2019/02/07","64.9200","4421734.0000","66.1000","66.2100","64.4600"
"2019/02/06","66.6300","3205509.0000","66.8400","67.1600","66.4800"
"2019/02/05","67.3000","2915707.0000","67.6100","67.6443","67.0100"
"2019/02/04","67.7400","3230167.0000","67.4700","67.9100","67.1300"
"2019/02/01","68.0400","5387236.0000","67.2600","68.2300","66.7800"
"2019/01/31","66.7800","5914007.0000","67.2800","67.3900","66.2100"
"2019/01/30","66.9700","3894080.0000","66.9600","67.4600","66.4400"
"2019/01/29","66.4800","3887188.0000","66.5700","66.8200","66.0000"
"2019/01/28","66.0800","3795305.0000","65.6400","66.1400","64.9900"
"2019/01/25","66.5300","3474676.0000","65.5500","66.7000","65.4200"
"2019/01/24","64.9800","4035052.0000","64.5400","65.1600","64.0100"
"2019/01/23","64.5700","3639672.0000","65.2600","65.7070","63.9400"
"2019/01/22","65.1200","4140821.0000","66.3500","66.3999","64.8550"
"2019/01/18","67.0300","4596197.0000","66.5600","67.2300","65.8600"
"2019/01/17","65.8300","4754851.0000","64.6500","66.1000","64.4500"
"2019/01/16","65.1400","4474947.0000","65.5100","65.6700","65.0800"
"2019/01/15","65.5200","4499656.0000","65.8100","66.5275","65.3500"
"2019/01/14","65.5800","6597612.0000","65.4500","66.4700","65.4000"
