"date","close","volume","open","high","low"

"2019/04/12","169.5000","3091693.0000","167.7900","169.6350","167.0000"
"2019/04/11","166.6700","2378425.0000","166.6000","167.0300","165.2600"
"2019/04/10","166.3500","3405991.0000","166.8600","167.2900","164.9700"
"2019/04/09","166.0900","2929157.0000","167.5600","167.5600","165.7700"
"2019/04/08","168.6900","2580756.0000","168.4200","168.8100","167.3800"
"2019/04/05","168.7200","2214433.0000","169.1600","169.9900","168.5100"
"2019/04/04","168.7900","1899067.0000","169.2800","170.1700","168.3100"
"2019/04/03","169.6100","2669120.0000","170.3600","171.0200","168.9400"
"2019/04/02","169.7800","2255533.0000","170.6700","171.2900","169.1300"
"2019/04/01","170.9200","3107537.0000","168.9400","171.2700","168.5300"
"2019/03/29","167.2000","3352263.0000","166.1800","168.1400","165.8077"
"2019/03/28","165.2000","2510610.0000","163.7600","165.4800","163.7600"
"2019/03/27","163.0100","2867512.0000","161.6900","163.5950","161.5000"
"2019/03/26","161.8100","2628207.0000","163.0600","163.0600","160.2600"
"2019/03/25","161.5000","3137226.0000","160.7100","163.7000","160.6000"
"2019/03/22","160.6200","3553074.0000","162.0900","162.4400","160.0550"
"2019/03/21","162.6100","3316550.0000","159.9200","163.2700","159.5000"
"2019/03/20","161.0000","3800347.0000","161.1100","162.4300","160.1574"
"2019/03/19","160.7500","5672446.0000","165.8700","165.9300","160.3100"
"2019/03/18","166.2400","3778511.0000","165.0000","167.5700","164.6200"
"2019/03/15","165.0000","9732433.0000","164.4900","166.6085","164.2100"
"2019/03/14","165.1700","3762115.0000","167.1800","167.3337","164.6000"
"2019/03/13","166.8300","3849076.0000","166.1000","168.9150","165.1900"
"2019/03/12","164.8300","4723479.0000","165.9900","166.7600","164.5300"
"2019/03/11","165.6000","3999178.0000","164.1000","166.9450","163.6800"
"2019/03/08","164.3000","2884568.0000","163.6700","164.4800","161.8100"
"2019/03/07","164.9400","4140821.0000","165.7500","166.1050","164.1600"
"2019/03/06","165.9100","3067713.0000","166.9100","167.2100","165.4800"
"2019/03/05","166.7800","2740663.0000","167.7100","169.1900","166.7800"
"2019/03/04","167.3700","4329533.0000","167.3400","170.1100","166.0000"
"2019/03/01","167.4400","3100783.0000","169.2800","169.5350","166.7900"
"2019/02/28","167.7000","3650701.0000","169.1700","169.1900","167.5300"
"2019/02/27","169.0600","2543977.0000","168.9800","170.5500","167.8100"
"2019/02/26","170.1500","3635210.0000","169.5400","171.2250","168.7200"
"2019/02/25","169.5500","4762457.0000","170.7400","170.7400","168.5600"
"2019/02/22","170.0600","4345646.0000","169.9000","170.3500","168.1000"
"2019/02/21","170.1700","3053541.0000","171.2500","171.8300","169.5300"
"2019/02/20","170.9900","2664010.0000","171.4700","171.9333","170.7600"
"2019/02/19","171.3300","3889680.0000","169.3200","172.4400","169.0500"
"2019/02/15","170.2400","3270904.0000","170.8700","171.3500","169.7250"
"2019/02/14","169.6300","4157496.0000","167.7000","170.5200","167.5200"
"2019/02/13","168.8800","3886899.0000","166.8600","169.1700","166.6000"
"2019/02/12","167.0500","3780909.0000","165.0000","168.0500","164.8800"
"2019/02/11","164.3500","4013468.0000","162.7100","164.6300","162.3900"
"2019/02/08","161.7200","2954031.0000","160.5700","161.7600","160.2822"
"2019/02/07","161.5700","3021082.0000","159.4400","161.6000","158.9300"
"2019/02/06","160.7400","2343794.0000","161.0000","162.0200","160.3000"
"2019/02/05","161.3000","3290773.0000","160.7600","161.3400","160.0000"
"2019/02/04","161.1300","5331024.0000","159.6700","161.1600","159.2200"
"2019/02/01","159.6700","4005201.0000","159.0700","160.5150","158.2600"
"2019/01/31","159.0700","7436996.0000","160.7500","160.9900","157.0200"
"2019/01/30","160.8200","4110249.0000","161.0900","161.8900","159.4400"
"2019/01/29","160.1700","3436888.0000","160.0400","160.9300","158.7500"
"2019/01/28","159.9000","3733764.0000","160.0000","160.7900","159.3400"
"2019/01/25","160.9500","7770665.0000","161.4600","162.0000","160.2200"
"2019/01/24","160.3400","9170868.0000","160.0400","160.7600","156.0100"
"2019/01/23","154.3300","4707106.0000","155.4500","156.0200","152.4300"
"2019/01/22","155.0200","5676427.0000","156.9300","157.2000","154.4056"
"2019/01/18","158.3400","4918950.0000","155.5400","158.8000","155.0100"
"2019/01/17","154.6400","3971801.0000","151.1100","154.9237","150.9300"
"2019/01/16","151.9700","4041151.0000","152.9100","153.7300","150.9100"
"2019/01/15","152.4800","4663061.0000","153.7900","154.3600","151.7400"
"2019/01/14","153.8900","3505078.0000","152.2300","154.2400","151.6500"
"2019/01/11","153.2100","3798857.0000","153.6400","155.0300","153.0900"
"2019/01/10","154.6600","6327044.0000","149.9000","155.2900","149.0100"
"2019/01/09","150.3600","4272383.0000","150.2900","151.0600","148.6100"
"2019/01/08","150.7500","10539280.0000","151.0600","152.8900","149.0400"
"2019/01/07","138.6500","3904028.0000","137.3300","139.2300","136.2600"
"2019/01/04","137.7900","5553389.0000","134.8200","138.5800","134.5200"
"2019/01/03","132.6800","5704639.0000","136.0400","136.7500","132.1700"
"2019/01/02","137.7800","3557879.0000","135.6500","138.3250","134.7701"
"2018/12/31","138.2300","2552328.0000","138.0400","138.5100","136.5300"
"2018/12/28","136.7800","2769339.0000","137.9300","138.5800","135.9700"
"2018/12/27","137.1400","3224559.0000","133.9500","137.1400","131.9650"
"2018/12/26","136.0200","3731862.0000","129.2900","136.0700","128.9200"
"2018/12/24","128.2100","2466029.0000","132.5300","132.5300","128.0800"
"2018/12/21","132.5400","7586493.0000","134.1700","137.6600","132.2800"
"2018/12/20","134.6800","5955253.0000","136.2800","136.9900","133.1100"
"2018/12/19","136.8900","3596993.0000","139.2500","142.6400","135.9410"
"2018/12/18","139.7800","2797998.0000","140.6400","141.6400","138.7000"
"2018/12/17","139.6000","4205353.0000","142.0800","142.2000","138.7300"
"2018/12/14","142.5700","4505841.0000","144.3800","145.8700","141.8600"
"2018/12/13","145.8400","5125857.0000","148.2200","148.2200","144.6000"
"2018/12/12","147.3400","5023792.0000","150.1400","150.8900","147.0300"
"2018/12/11","147.8400","3333172.0000","150.0900","151.1500","146.8600"
"2018/12/10","148.0400","4553586.0000","146.4000","148.6000","144.1600"
